Year,Price,Kilometers
2017,735000,129000
2021,1225000,28500
2022,1135000,28500
2018,872000,81143
2014,645000,50000
2019,1185000,48000
2019,1250000,42000
2018,945000,61000
2017,800000,82000
2021,1265000,40000
2021,1265000,40000
2021,1265000,40000
2021,1265000,40000
2019,1185000,27000
2018,744444,42365
2013,500000,60500
2019,930000,80000
2016,675000,85000
2019,1185000,35000
2019,930000,82000
2017,865000,36000
2021,1100000,55000
2021,1075000,49000
2021,1229000,35000
2018,1025000,31000
2016,875000,50000
2018,890000,75000
2016,690000,105000
2022,1135000,28500
2018,799000,50000
2017,895000,44000
2016,725000,85000
2017,895000,52500
2017,810000,94000
2021,1190000,35000
2021,1199000,35000
2018,1040000,24700
2020,990000,41000
2017,850000,48800
2020,1225000,17000
2018,880000,56000
2017,810000,94000
2021,1175000,35000
2021,1200000,40000
2018,935000,75000
2018,975000,23000
2016,850000,48000
2018,980000,61000
2018,950000,65000
2017,840000,59000
2018,975000,23000
